REGIONC,TVTYPE1,RowPercent,lwr,upr
1,-2,3.6336,1.8900155441,5.3772290798
1,1,39.1092,36.515313485,41.703145095
1,2,12.8768,10.901463867,14.852083835
1,3,32.2425,28.47795479,36.006945328
1,4,2.6811,1.0330561718,4.3291883315
1,5,9.4568,7.2346984704,11.678906002
2,-2,2.2097,1.0920721314,3.3273083142
2,1,37.9646,35.823025849,40.106193067
2,2,12.8342,10.993051686,14.675318181
2,3,36.4513,33.91941135,38.983233476
2,4,1.7318,1.0421448404,2.4213601054
2,5,8.8084,7.0117946974,10.605086301
3,-2,2.4803,1.6297271041,3.3309660754
3,1,37.0920,35.148745423,39.035348005
3,2,15.0774,13.680529328,16.474313168
3,3,34.6914,32.359482528,37.023255163
3,4,1.3325,0.9678730525,1.6971126928
3,5,9.3263,7.7380563515,10.914591108
4,-2,3.0942,2.2558503609,3.9325368463
4,1,40.1317,37.564089038,42.69921123
4,2,15.1713,12.022887819,18.319687303
4,3,30.9725,28.054373245,33.890695062
4,4,2.0374,1.0901148955,2.9847675858
4,5,8.5929,7.1559059704,10.029880643
