TVTYPE1,dif,lwr,upr
-2,1.7733706237,-0.182888929,3.7296301768
1,-34.52377916,-37.31113376,-31.73642456
2,-3.453761282,-7.067371394,0.1598488294
3,4.7341940227,2.2260752771,7.2423127683
4,-0.18814941,-2.065744937,1.6894461176
5,31.658125207,27.880918183,35.435332232
-2,1.1420313845,-0.126335942,2.4103987115
1,-37.39581344,-40.27990238,-34.5117245
2,-2.043345463,-4.907975822,0.8212848971
3,5.1082731793,2.9319621429,7.2845842157
4,-1.863906391,-2.96410673,-0.763706052
5,35.052760733,32.456379244,37.649142223
-2,1.3471765574,0.3941038425,2.3002492723
1,-35.29387891,-37.73397282,-32.85378499
2,-2.571439702,-5.178996875,0.0361174699
3,6.3006389618,4.532285739,8.0689921846
4,-3.43538479,-4.220640881,-2.650128698
5,33.652887878,31.289930862,36.015844894
-2,1.4827281388,0.5189121797,2.446544098
1,-32.94533727,-35.29707764,-30.59359689
2,-0.381103716,-3.893908951,3.1317015198
3,5.6734732266,2.3326739833,9.01427247
4,-3.833081383,-5.164242035,-2.501920731
5,30.003321,27.054909801,32.951732199
